"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX"
"69","316.5078125","316.5078125","316.5078125","304.8636474609375","304.8636474609375","304.8636474609375","317.7357177734375","317.7357177734375","317.7357177734375"
"70","305.4375","305.4375","305.4375","297.02813720703125","297.02813720703125","297.02813720703125","313.5197448730469","313.5197448730469","313.5197448730469"
"71","296.9098815917969","296.9098815917969","296.9098815917969","291.1676025390625","291.1676025390625","291.1676025390625","307.3999938964844","307.3999938964844","307.3999938964844"
"72","290.20513916015625","290.20513916015625","290.20513916015625","291.1176452636719","291.1176452636719","291.1176452636719","307.07501220703125","307.07501220703125","307.07501220703125"
"73","284.1383972167969","284.1383972167969","284.1383972167969","304.1339416503906","304.1339416503906","304.1339416503906","293.41796875","293.41796875","293.41796875"
"74","311.15625","311.15625","311.15625","305.7361145019531","305.7361145019531","305.7361145019531","315.9439697265625","315.9439697265625","315.9439697265625"
"75","308.58880615234375","308.58880615234375","308.58880615234375","297.3451232910156","297.3451232910156","297.3451232910156","309.5434875488281","309.5434875488281","309.5434875488281"
"76","309.3585510253906","309.3585510253906","309.3585510253906","314.6634521484375","314.6634521484375","314.6634521484375","327.82501220703125","327.82501220703125","327.82501220703125"
"77","298.1439514160156","298.1439514160156","298.1439514160156","285.7269592285156","285.7269592285156","285.7269592285156","304.44354248046875","304.44354248046875","304.44354248046875"
"78","301.5073547363281","301.5073547363281","301.5073547363281","303.1348571777344","303.1348571777344","303.1348571777344","305.7852478027344","305.7852478027344","305.7852478027344"
"79","294.63055419921875","294.63055419921875","294.63055419921875","302.6166687011719","302.6166687011719","302.6166687011719","306.31793212890625","306.31793212890625","306.31793212890625"
"80","306.71795654296875","306.71795654296875","306.71795654296875","301.15130615234375","301.15130615234375","301.15130615234375","346.38214111328125","346.38214111328125","346.38214111328125"
"81","289.2178649902344","289.2178649902344","289.2178649902344","291.0863037109375","291.0863037109375","291.0863037109375","312.51873779296875","312.51873779296875","312.51873779296875"
"82","301.1328125","301.1328125","301.1328125","289.4393005371094","289.4393005371094","289.4393005371094","314.78570556640625","314.78570556640625","314.78570556640625"
"83","287.5394592285156","287.5394592285156","287.5394592285156","293.66033935546875","293.66033935546875","293.66033935546875","316.2275695800781","316.2275695800781","316.2275695800781"
