"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MAX"
"155","0.5625473843821076","0.5625473843821076","0.5625473843821076","0.5852918877937832","0.5852918877937832","0.5852918877937832","0.579226686884003","0.579226686884003","0.579226686884003","0.5815011372251706","0.5815011372251706","0.5815011372251706"
"160","0.5708870356330553","0.5708870356330553","0.5708870356330553","0.5815011372251706","0.5815011372251706","0.5815011372251706","0.5754359363153905","0.5754359363153905","0.5754359363153905","0.5875663381349507","0.5875663381349507","0.5875663381349507"
"165","0.5739196360879454","0.5739196360879454","0.5739196360879454","0.576194086429113","0.576194086429113","0.576194086429113","0.5769522365428355","0.5769522365428355","0.5769522365428355","0.5754359363153905","0.5754359363153905","0.5754359363153905"
"170","0.5731614859742229","0.5731614859742229","0.5731614859742229","0.5769522365428355","0.5769522365428355","0.5769522365428355","0.5905989385898408","0.5905989385898408","0.5905989385898408","0.5913570887035633","0.5913570887035633","0.5913570887035633"
"175","0.579226686884003","0.579226686884003","0.579226686884003","0.5837755875663382","0.5837755875663382","0.5837755875663382","0.5943896891584534","0.5943896891584534","0.5943896891584534","0.5890826383623957","0.5890826383623957","0.5890826383623957"
"180","0.577710386656558","0.577710386656558","0.577710386656558","0.5913570887035633","0.5913570887035633","0.5913570887035633","0.5898407884761183","0.5898407884761183","0.5898407884761183","0.5936315390447309","0.5936315390447309","0.5936315390447309"
"185","0.5913570887035633","0.5913570887035633","0.5913570887035633","0.5868081880212282","0.5868081880212282","0.5868081880212282","0.6004548900682335","0.6004548900682335","0.6004548900682335","0.5754359363153905","0.5754359363153905","0.5754359363153905"
"190","0.6019711902956786","0.6019711902956786","0.6019711902956786","0.5852918877937832","0.5852918877937832","0.5852918877937832","0.5890826383623957","0.5890826383623957","0.5890826383623957","0.5936315390447309","0.5936315390447309","0.5936315390447309"
"195","0.5913570887035633","0.5913570887035633","0.5913570887035633","0.577710386656558","0.577710386656558","0.577710386656558","0.5905989385898408","0.5905989385898408","0.5905989385898408","0.5883244882486732","0.5883244882486732","0.5883244882486732"
"200","0.5943896891584534","0.5943896891584534","0.5943896891584534","0.5905989385898408","0.5905989385898408","0.5905989385898408","0.6004548900682335","0.6004548900682335","0.6004548900682335","0.5868081880212282","0.5868081880212282","0.5868081880212282"
