"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy__MAX"
"126","0.13679936528205872","0.13679936528205872","0.13679936528205872","0.11084417253732681","0.11084417253732681","0.11084417253732681"
"127","0.10962691158056259","0.10962691158056259","0.10962691158056259","0.10133090615272522","0.10133090615272522","0.10133090615272522"
"128","0.10578262060880661","0.10578262060880661","0.10578262060880661","0.09964032471179962","0.09964032471179962","0.09964032471179962"
"129","0.1281500905752182","0.1281500905752182","0.1281500905752182","0.11503713577985764","0.11503713577985764","0.11503713577985764"
"130","0.1255376636981964","0.1255376636981964","0.1255376636981964","0.11978959292173386","0.11978959292173386","0.11978959292173386"
"131","0.1291382610797882","0.1291382610797882","0.1291382610797882","0.12115860730409622","0.12115860730409622","0.12115860730409622"
"132","0.1135934516787529","0.1135934516787529","0.1135934516787529","0.11204151064157486","0.11204151064157486","0.11204151064157486"
"133","0.12630677223205566","0.12630677223205566","0.12630677223205566","0.09954994171857834","0.09954994171857834","0.09954994171857834"
"134","0.11379755288362503","0.11379755288362503","0.11379755288362503","0.10091540962457657","0.10091540962457657","0.10091540962457657"
"135","0.11124710738658905","0.11124710738658905","0.11124710738658905","0.10804522782564163","0.10804522782564163","0.10804522782564163"
"136","0.10178371518850327","0.10178371518850327","0.10178371518850327","0.10110923647880554","0.10110923647880554","0.10110923647880554"
"137","0.10221724957227707","0.10221724957227707","0.10221724957227707","0.11961732059717178","0.11961732059717178","0.11961732059717178"
"138","0.10470248013734818","0.10470248013734818","0.10470248013734818","0.09282685816287994","0.09282685816287994","0.09282685816287994"
"139","0.12011820822954178","0.12011820822954178","0.12011820822954178","0.15230371057987213","0.15230371057987213","0.15230371057987213"
"140","0.12005757540464401","0.12005757540464401","0.12005757540464401","0.11501345038414001","0.11501345038414001","0.11501345038414001"
"141","0.12135251611471176","0.12135251611471176","0.12135251611471176","0.10291308164596558","0.10291308164596558","0.10291308164596558"
"142","0.12185463309288025","0.12185463309288025","0.12185463309288025","0.10649726539850235","0.10649726539850235","0.10649726539850235"
"143","0.11083923280239105","0.11083923280239105","0.11083923280239105","0.10205692797899246","0.10205692797899246","0.10205692797899246"
"144","0.12939999997615814","0.12939999997615814","0.12939999997615814","0.11584299057722092","0.11584299057722092","0.11584299057722092"
"145","0.10963467508554459","0.10963467508554459","0.10963467508554459","0.09745688736438751","0.09745688736438751","0.09745688736438751"
"146","0.1042601466178894","0.1042601466178894","0.1042601466178894","0.1018201932311058","0.1018201932311058","0.1018201932311058"
"147","0.12423454225063324","0.12423454225063324","0.12423454225063324","0.10733336955308914","0.10733336955308914","0.10733336955308914"
"148","0.11724065244197845","0.11724065244197845","0.11724065244197845","0.10525535047054291","0.10525535047054291","0.10525535047054291"
"149","0.1207473948597908","0.1207473948597908","0.1207473948597908","0.09781590849161148","0.09781590849161148","0.09781590849161148"
"150","0.11758715659379959","0.11758715659379959","0.11758715659379959","0.11327982693910599","0.11327982693910599","0.11327982693910599"
"151","0.10800376534461975","0.10800376534461975","0.10800376534461975","0.1046801283955574","0.1046801283955574","0.1046801283955574"
"152","0.10072824358940125","0.10072824358940125","0.10072824358940125","0.0947841927409172","0.0947841927409172","0.0947841927409172"
"153","0.13044510781764984","0.13044510781764984","0.13044510781764984","0.10958924889564514","0.10958924889564514","0.10958924889564514"
"154","0.11191052943468094","0.11191052943468094","0.11191052943468094","0.09549098461866379","0.09549098461866379","0.09549098461866379"
"155","0.11287284642457962","0.11287284642457962","0.11287284642457962","0.08534519374370575","0.08534519374370575","0.08534519374370575"
"156","0.11623106896877289","0.11623106896877289","0.11623106896877289","0.10004304349422455","0.10004304349422455","0.10004304349422455"
"157","0.11995039880275726","0.11995039880275726","0.11995039880275726","0.09071885049343109","0.09071885049343109","0.09071885049343109"
"158","0.10160958021879196","0.10160958021879196","0.10160958021879196","0.09235581755638123","0.09235581755638123","0.09235581755638123"
"159","0.10390374809503555","0.10390374809503555","0.10390374809503555","0.09035694599151611","0.09035694599151611","0.09035694599151611"
"160","0.11086439341306686","0.11086439341306686","0.11086439341306686","0.09290669113397598","0.09290669113397598","0.09290669113397598"
"161","0.11456228792667389","0.11456228792667389","0.11456228792667389","0.08795895427465439","0.08795895427465439","0.08795895427465439"
"162","0.1223435029387474","0.1223435029387474","0.1223435029387474","0.0991491973400116","0.0991491973400116","0.0991491973400116"
"163","0.10873553156852722","0.10873553156852722","0.10873553156852722","0.08813238888978958","0.08813238888978958","0.08813238888978958"
"164","0.11310015618801117","0.11310015618801117","0.11310015618801117","0.08659229427576065","0.08659229427576065","0.08659229427576065"
"165","0.1099768653512001","0.1099768653512001","0.1099768653512001","0.08922304213047028","0.08922304213047028","0.08922304213047028"
"166","0.1265019327402115","0.1265019327402115","0.1265019327402115","0.0919354036450386","0.0919354036450386","0.0919354036450386"
"167","0.12018191814422607","0.12018191814422607","0.12018191814422607","0.0970776155591011","0.0970776155591011","0.0970776155591011"
"168","0.11159443855285645","0.11159443855285645","0.11159443855285645","0.10424743592739105","0.10424743592739105","0.10424743592739105"
"169","0.10708819329738617","0.10708819329738617","0.10708819329738617","0.08391617983579636","0.08391617983579636","0.08391617983579636"
"170","0.12444307655096054","0.12444307655096054","0.12444307655096054","0.09038469195365906","0.09038469195365906","0.09038469195365906"
"171","0.11262290179729462","0.11262290179729462","0.11262290179729462","0.09332993626594543","0.09332993626594543","0.09332993626594543"
"172","0.12318439036607742","0.12318439036607742","0.12318439036607742","0.10243625938892365","0.10243625938892365","0.10243625938892365"
"173","0.14812466502189636","0.14812466502189636","0.14812466502189636","0.09819696843624115","0.09819696843624115","0.09819696843624115"
"174","0.11514943838119507","0.11514943838119507","0.11514943838119507","0.0906485766172409","0.0906485766172409","0.0906485766172409"
"175","0.11053390055894852","0.11053390055894852","0.11053390055894852","0.094355009496212","0.094355009496212","0.094355009496212"
"176","0.12116646766662598","0.12116646766662598","0.12116646766662598","0.09019266813993454","0.09019266813993454","0.09019266813993454"
"177","0.10482743382453918","0.10482743382453918","0.10482743382453918","0.09173423051834106","0.09173423051834106","0.09173423051834106"
"178","0.11621233075857162","0.11621233075857162","0.11621233075857162","0.08739665150642395","0.08739665150642395","0.08739665150642395"
"179","0.14012989401817322","0.14012989401817322","0.14012989401817322","0.08233319967985153","0.08233319967985153","0.08233319967985153"
"180","0.11096015572547913","0.11096015572547913","0.11096015572547913","0.09793160855770111","0.09793160855770111","0.09793160855770111"
"181","0.12196104228496552","0.12196104228496552","0.12196104228496552","0.08922991156578064","0.08922991156578064","0.08922991156578064"
"182","0.13072548806667328","0.13072548806667328","0.13072548806667328","0.10254110395908356","0.10254110395908356","0.10254110395908356"
"183","0.11761332303285599","0.11761332303285599","0.11761332303285599","0.08994155377149582","0.08994155377149582","0.08994155377149582"
"184","0.11045553535223007","0.11045553535223007","0.11045553535223007","0.10207549482584","0.10207549482584","0.10207549482584"
"185","0.09148842841386795","0.09148842841386795","0.09148842841386795","0.08555132150650024","0.08555132150650024","0.08555132150650024"
"186","0.12758538126945496","0.12758538126945496","0.12758538126945496","0.09096546471118927","0.09096546471118927","0.09096546471118927"
"187","0.09841101616621017","0.09841101616621017","0.09841101616621017","0.08785481750965118","0.08785481750965118","0.08785481750965118"
"188","0.11626912653446198","0.11626912653446198","0.11626912653446198","0.08445609360933304","0.08445609360933304","0.08445609360933304"
"189","0.10540037602186203","0.10540037602186203","0.10540037602186203","0.0846928283572197","0.0846928283572197","0.0846928283572197"
"190","0.09874856472015381","0.09874856472015381","0.09874856472015381","0.08199111372232437","0.08199111372232437","0.08199111372232437"
"191","0.10773154348134995","0.10773154348134995","0.10773154348134995","0.09254663437604904","0.09254663437604904","0.09254663437604904"
"192","0.1157621443271637","0.1157621443271637","0.1157621443271637","0.08534250408411026","0.08534250408411026","0.08534250408411026"
"193","0.11483246088027954","0.11483246088027954","0.11483246088027954","0.10061138868331909","0.10061138868331909","0.10061138868331909"
"194","0.100736603140831","0.100736603140831","0.100736603140831","0.0951361358165741","0.0951361358165741","0.0951361358165741"
"195","0.10432127118110657","0.10432127118110657","0.10432127118110657","0.10078434646129608","0.10078434646129608","0.10078434646129608"
"196","0.10326521098613739","0.10326521098613739","0.10326521098613739","0.08302544057369232","0.08302544057369232","0.08302544057369232"
"197","0.10135526955127716","0.10135526955127716","0.10135526955127716","0.08775793761014938","0.08775793761014938","0.08775793761014938"
"198","0.11556003987789154","0.11556003987789154","0.11556003987789154","0.09573062509298325","0.09573062509298325","0.09573062509298325"
"199","0.10947653651237488","0.10947653651237488","0.10947653651237488","0.08951811492443085","0.08951811492443085","0.08951811492443085"
"200","0.11521068960428238","0.11521068960428238","0.11521068960428238","0.09891638904809952","0.09891638904809952","0.09891638904809952"
"201","0.10329346358776093","0.10329346358776093","0.10329346358776093","0.10330986231565475","0.10330986231565475","0.10330986231565475"
"202","0.10699185729026794","0.10699185729026794","0.10699185729026794","0.09723500907421112","0.09723500907421112","0.09723500907421112"
"203","0.12987937033176422","0.12987937033176422","0.12987937033176422","0.10680568218231201","0.10680568218231201","0.10680568218231201"
"204","0.12412983924150467","0.12412983924150467","0.12412983924150467","0.10900193452835083","0.10900193452835083","0.10900193452835083"
"205","0.10178515315055847","0.10178515315055847","0.10178515315055847","0.08859777450561523","0.08859777450561523","0.08859777450561523"
"206","0.11163115501403809","0.11163115501403809","0.11163115501403809","0.11221598833799362","0.11221598833799362","0.11221598833799362"
"207","0.12526781857013702","0.12526781857013702","0.12526781857013702","0.10502596199512482","0.10502596199512482","0.10502596199512482"
"208","0.10167612880468369","0.10167612880468369","0.10167612880468369","0.08874228596687317","0.08874228596687317","0.08874228596687317"
"209","0.1249275878071785","0.1249275878071785","0.1249275878071785","0.09318063408136368","0.09318063408136368","0.09318063408136368"
"210","0.11263519525527954","0.11263519525527954","0.11263519525527954","0.09087058156728745","0.09087058156728745","0.09087058156728745"
"211","0.11896025389432907","0.11896025389432907","0.11896025389432907","0.09602001309394836","0.09602001309394836","0.09602001309394836"
"212","0.11201955378055573","0.11201955378055573","0.11201955378055573","0.08418431133031845","0.08418431133031845","0.08418431133031845"
"213","0.12004142254590988","0.12004142254590988","0.12004142254590988","0.08677715063095093","0.08677715063095093","0.08677715063095093"
"214","0.09977217018604279","0.09977217018604279","0.09977217018604279","0.09577285498380661","0.09577285498380661","0.09577285498380661"
"215","0.12559857964515686","0.12559857964515686","0.12559857964515686","0.08673343807458878","0.08673343807458878","0.08673343807458878"
"216","0.11867551505565643","0.11867551505565643","0.11867551505565643","0.08763991296291351","0.08763991296291351","0.08763991296291351"
"217","0.11977537721395493","0.11977537721395493","0.11977537721395493","0.0981491357088089","0.0981491357088089","0.0981491357088089"
