"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MAX"
"125","325.8333435058594","325.8333435058594","325.8333435058594","269.71282958984375","269.71282958984375","269.71282958984375"
"126","325.4889831542969","325.4889831542969","325.4889831542969","292.83929443359375","292.83929443359375","292.83929443359375"
"127","312.7430419921875","312.7430419921875","312.7430419921875","294.375","294.375","294.375"
"128","329.2169189453125","329.2169189453125","329.2169189453125","302.6280517578125","302.6280517578125","302.6280517578125"
"129","312.0583190917969","312.0583190917969","312.0583190917969","303.34210205078125","303.34210205078125","303.34210205078125"
"130","321.8515625","321.8515625","321.8515625","300.8928527832031","300.8928527832031","300.8928527832031"
"131","344.8035583496094","344.8035583496094","344.8035583496094","318.59722900390625","318.59722900390625","318.59722900390625"
"132","332.616943359375","332.616943359375","332.616943359375","308.8365478515625","308.8365478515625","308.8365478515625"
"133","342.118408203125","342.118408203125","342.118408203125","309.90277099609375","309.90277099609375","309.90277099609375"
"134","316.625","316.625","316.625","300.06732177734375","300.06732177734375","300.06732177734375"
"135","311.3397521972656","311.3397521972656","311.3397521972656","298.6477355957031","298.6477355957031","298.6477355957031"
"136","324.7010803222656","324.7010803222656","324.7010803222656","290.125","290.125","290.125"
"137","308.5946960449219","308.5946960449219","308.5946960449219","283.1964416503906","283.1964416503906","283.1964416503906"
"138","356.5528869628906","356.5528869628906","356.5528869628906","328.262939453125","328.262939453125","328.262939453125"
"139","324.3657531738281","324.3657531738281","324.3657531738281","311.728271484375","311.728271484375","311.728271484375"
"140","340.9595642089844","340.9595642089844","340.9595642089844","324.53570556640625","324.53570556640625","324.53570556640625"
"141","331.9959716796875","331.9959716796875","331.9959716796875","298.73828125","298.73828125","298.73828125"
"142","328.7749938964844","328.7749938964844","328.7749938964844","285.71875","285.71875","285.71875"
"143","310.7338562011719","310.7338562011719","310.7338562011719","292.758056640625","292.758056640625","292.758056640625"
"144","328.0857238769531","328.0857238769531","328.0857238769531","299.3507080078125","299.3507080078125","299.3507080078125"
"145","324.61627197265625","324.61627197265625","324.61627197265625","299.4886474609375","299.4886474609375","299.4886474609375"
"146","328.4583435058594","328.4583435058594","328.4583435058594","290.71282958984375","290.71282958984375","290.71282958984375"
"147","328.8125","328.8125","328.8125","282.5798645019531","282.5798645019531","282.5798645019531"
"148","323.66796875","323.66796875","323.66796875","293.631591796875","293.631591796875","293.631591796875"
"149","345.4083251953125","345.4083251953125","345.4083251953125","310.56695556640625","310.56695556640625","310.56695556640625"
"150","351.4750061035156","351.4750061035156","351.4750061035156","312.90625","312.90625","312.90625"
"151","336.19140625","336.19140625","336.19140625","319.17279052734375","319.17279052734375","319.17279052734375"
"152","335.54412841796875","335.54412841796875","335.54412841796875","298.47265625","298.47265625","298.47265625"
"153","348.6111145019531","348.6111145019531","348.6111145019531","309.91015625","309.91015625","309.91015625"
"154","360.3020935058594","360.3020935058594","360.3020935058594","318.8322448730469","318.8322448730469","318.8322448730469"
"155","340.92999267578125","340.92999267578125","340.92999267578125","279.2833251953125","279.2833251953125","279.2833251953125"
